source,destination,count,mean,min_delay,max_delay,range
1,0,18,4440.074387150041,1467.2319999998435,11738.55999999959,10271.327999999747
1,2,11,27544.40767836026,3088.928,59347.33106185403,56258.40306185403
1,3,7,26911.950086649307,7650.101785545703,46086.67599388771,38436.574208342005
1,4,10,15240.924679290194,4517.164595818147,36799.02161834855,32281.857022530407
1,5,12,26832.94926076623,6332.496000001207,76632.25573219871,70299.7597321975
1,6,13,4172.661862687566,2007.8559999987483,10984.418254699558,8976.56225470081
1,7,13,9316.382955157842,3243.3919999999925,18476.751999999866,15233.359999999873
1,8,7,59279.841276345316,6795.888000000268,117563.84251009114,110767.95451009087
1,9,18,34077.06888776472,7039.461781186983,69128.66241817176,62089.20063698478
1,10,11,7767.415525638921,3784.015999998897,18689.792000002228,14905.77600000333
1,11,9,6366.982085196224,1312.7680000001565,35541.21065905271,34228.442659052555
2,0,16,5562.75824109952,1544.463999999687,17684.730945985764,16140.266945986077
2,1,9,27404.876392598264,3938.479999998584,69692.95988773182,65754.47988773324
2,3,6,8405.947040187117,3552.3199999998324,16340.545950703325,12788.225950703492
2,4,9,32702.997529724664,18712.423096222803,49138.261515353806,30425.838419131003
2,5,7,2837.555876333491,1544.463999999687,6211.342686809599,4666.878686809912
2,6,17,20993.926718073348,4401.87200000044,75835.39859138615,71433.52659138571
2,7,3,29689.407927720575,10383.652080716563,52719.555688252905,42335.90360753634
2,8,19,3306.7115115928464,1467.2320000003092,7380.702173913829,5913.47017391352
2,9,12,38001.91992130626,6718.656000000425,79357.87480190955,72639.21880190913
2,10,13,4309.394415785451,1312.7679999992251,13332.037781529129,12019.269781529903
2,11,7,47892.74131581624,5096.783999998122,147545.14599488006,142448.36199488194
3,0,19,5072.645052631161,1467.2320000003092,11352.751999996604,9885.519999996295
3,1,12,24304.896863084385,4092.943999998272,72457.93260010076,68364.98860010249
3,2,12,10856.291925190444,4788.031999999657,19848.27199999941,15060.239999999754
3,4,10,13849.043878911902,4788.031999999657,36506.77266367525,31718.74066367559
3,5,12,10010.920351507937,1312.7680000001565,64197.70408996008,62884.93608995993
3,6,12,30898.977749908267,5096.784000000916,153696.26542655565,148599.48142655473
3,7,14,8772.1995796593,3088.928000000305,32326.398378506303,29237.470378505997
3,8,8,14757.520551115842,4787.855999998748,31226.71034314425,26438.8543431455
3,9,12,4880.387345490617,1312.7680000001565,23694.997799104774,22382.229799104618
3,10,18,31535.106472454067,8803.919999999998,105854.95025443369,97051.03025443369
3,11,16,24421.64659976776,4092.9440000010654,82281.82166257687,78188.8776625758
4,0,16,10269.639827977353,2779.9999999981374,55460.67737255432,52680.67737255618
4,1,10,10516.539728437992,2548.4799999985844,38041.49417497683,35493.01417497825
4,2,8,30577.098227989132,3397.8560000001453,93675.97645592876,90278.12045592861
4,3,13,15104.768125646147,4788.031999999657,44432.929734933656,39644.897734934
4,5,13,37060.33870006821,5482.944000001997,90250.7731700074,84767.8291700054
4,6,9,8825.50228955232,4710.799999998882,17132.4448383383,12421.644838339416
4,7,20,15471.98124620433,2857.2319999998435,93185.44531245995,90328.21331246011
4,8,5,44341.437641531265,8031.599999998696,141805.9615616125,133774.3615616138
4,9,12,18919.371582671887,3166.159999999684,70876.15764431376,67709.99764431408
4,10,5,26415.96621673107,5405.711999999359,52350.02735353261,46944.31535353325
4,11,13,7290.756842981773,1621.6959999999965,19925.680000001565,18303.98400000157
5,0,11,6108.925300618136,2779.9999999981374,11942.260751558468,9162.26075156033
5,1,2,12975.43782927189,4787.856000000611,21163.01965854317,16375.163658542559
5,2,18,4279.580101194817,1312.7679999999236,14151.93600000022,12839.168000000296
5,3,12,4943.564402979726,1698.9280000000726,12148.313195647905,10449.385195647832
5,4,9,21990.276694966404,7877.136000000872,55665.3211506037,47788.185150602825
5,6,7,22606.340955257834,6332.496000000276,45325.8364875922,38993.34048759192
5,7,5,19438.273019413184,7568.031999995932,30218.00699948193,22649.974999486
5,8,13,4510.526279258398,1390.0,14306.39999999944,12916.39999999944
5,9,10,8634.549308712501,3088.928000000305,28886.084755709395,25797.15675570909
5,10,17,7722.504796805415,2857.2319999998435,20253.087999999523,17395.85599999968
5,11,7,18267.457190157245,8108.656000000425,51034.810335991904,42926.15433599148
6,0,12,4461.879714828489,1390.0,15778.92457794305,14388.92457794305
6,1,14,5893.578514167487,1544.463999999687,39880.323198342696,38335.85919834301
6,2,22,30588.978334026444,3706.784000000917,102543.18872068076,98836.40472067984
6,3,7,34268.704003925006,5174.015999998897,115065.00294978452,109890.98694978563
