source,destination,count,mean,min_delay,max_delay,range
0,1,10,3550690.799475737,1194220.391549617,5751499.575913356,4557279.184363739
0,2,9,3580587.0922480114,1194220.391549617,5763855.991913361,4569635.6003637435
0,3,10,3551046.0666757366,1194220.391549617,5751499.575913356,4557279.184363739
0,4,9,3575849.979056039,1197386.7275496172,5751499.575913356,4554112.8483637385
0,5,8,3891571.2289863694,1197235.4724776647,5763855.991913361,4566620.519435696
0,6,10,3551732.700275737,1194220.391549617,5760767.239913353,4566546.848363736
0,7,8,3691787.0357048856,1198853.9595496175,5756442.247913358,4557588.28836374
0,8,9,3581763.0327955727,1197235.4724776647,5763855.991913361,4566620.519435696
0,9,9,3410979.70954161,1198853.9595496175,5756442.247913358,4557588.28836374
0,10,10,3555750.7254413194,1197235.4724776647,5763855.991913361,4566620.519435696
0,11,9,3578205.3286924544,1197386.7275496172,5756442.247913358,4559055.520363741
0,12,10,3550481.594675737,1194220.391549617,5751499.575913356,4557279.184363739
0,13,8,3691613.2857048856,1198853.9595496175,5756442.247913358,4557588.28836374
0,14,10,3555750.7254413194,1197235.4724776647,5763855.991913361,4566620.519435696
0,15,10,3553813.5165148936,1194220.391549617,5751499.575913356,4557279.184363739
0,16,10,3550481.594675737,1194220.391549617,5751499.575913356,4557279.184363739
0,17,10,3550481.594675737,1194220.391549617,5751499.575913356,4557279.184363739
0,18,10,3550481.594675737,1194220.391549617,5751499.575913356,4557279.184363739
0,19,10,3555750.7254413194,1197235.4724776647,5763855.991913361,4566620.519435696
0,20,10,3550690.799475737,1194220.391549617,5751499.575913356,4557279.184363739
0,21,10,3550481.594675737,1194220.391549617,5751499.575913356,4557279.184363739
0,22,10,3555456.975748514,1197386.7275496172,5760767.239913353,4563380.512363736
0,23,9,3575849.979056039,1197386.7275496172,5751499.575913356,4554112.8483637385
0,24,10,3551547.3610757366,1194220.391549617,5760767.239913353,4566546.848363736
