source,destination,count,mean,min_delay,max_delay,range
12,0,13,4005936.288640872,350661.1608807533,7844255.5220683105,7493594.361187557
13,0,33,676009.5173854685,4419.387217666954,5646178.014289573,5641758.627071906
14,0,26,3182438.195526729,8965.591912685537,5399193.161964514,5390227.570051828
15,0,24,736876.078844815,30586.436611270063,5708025.06083175,5677438.62422048
16,0,25,2938282.4506626697,149354.42219478244,5548639.983647554,5399285.561452772
17,0,4,5439630.94159202,1227105.0537004631,9127082.002701696,7899976.949001233
18,0,21,2128102.5389524098,19128.748833717906,5470190.020010883,5451061.271177165
19,0,37,335046.95822228026,4401.871999999508,5585285.691487523,5580883.819487523
20,0,40,214706.76996629895,7027.760000000126,424361.80364781246,417334.04364781233
21,0,33,482826.9470227329,14448.701020093284,864670.4145598095,850221.7135397162
22,0,31,265224.50821587205,2702.7680000001565,4047325.611519586,4044622.8435195857
