source,destination,count,mean,min_delay,max_delay,range
12,0,47,25764.429676451116,1312.7680000001565,198911.42856318853,197598.66056318837
13,0,35,30242.97672525127,2934.4639999978244,155008.9753920138,152074.51139201596
14,0,52,13005.42833897771,3088.928000000305,71717.78234264348,68628.85434264317
15,0,33,9322.670882799073,1312.7680000001565,34424.03199999966,33111.2639999995
16,0,48,8062.825056188558,1544.4640000006184,33939.092357181944,32394.628357181326
17,0,33,22922.20616968602,3938.655999999959,74328.40906366985,70389.7530636699
18,0,51,18979.122656693744,1312.7679999992251,96280.5677228868,94967.79972288758
19,0,47,18053.383211207845,3011.696000000462,72594.43357636873,69582.73757636826
20,0,51,8177.802888268986,1312.7680000001565,57427.23099624179,56114.46299624164
21,0,43,16860.18153639806,1312.7680000001565,71999.28357405332,70686.51557405316
22,0,33,8270.734433431535,3088.928000000305,33960.46399999969,30871.53599999938
