source,destination,delay_value
0,1,1194220.391549617
0,1,2027002.275766541
0,1,2487649.012441581
0,1,2691410.777113295
0,1,3329123.447253019
0,1,3641656.9435318783
0,1,4515304.562975131
0,1,4739047.488972447
0,1,5129993.519240502
0,1,5751499.575913356
0,2,1194220.391549617
0,2,2027002.275766541
0,2,2487649.012441581
0,2,2695272.0251132958
0,2,3660003.887531886
0,2,4518857.05897513
0,2,4742290.880972448
0,2,5136132.305968242
0,2,5763855.991913361
0,3,1194220.391549617
0,3,2027002.275766541
0,3,2487649.012441581
0,3,2691410.777113295
0,3,3329123.447253019
0,3,3645209.6155318804
0,3,4515304.562975131
0,3,4739047.488972447
0,3,5129993.519240502
0,3,5751499.575913356
0,4,1197386.7275496172
0,4,2027002.275766541
0,4,2487649.012441581
0,4,2693109.7051132955
0,4,3641656.9435318783
0,4,4515304.562975131
0,4,4739047.488972447
0,4,5129993.519240502
0,4,5751499.575913356
0,5,1197235.4724776647
0,5,2490043.028441582
0,5,3617509.429610641
0,5,3660003.887531886
0,5,4518857.05897513
0,5,4748932.65697245
0,5,5136132.305968242
0,5,5763855.991913361
0,6,1194220.391549617
0,6,2027002.275766541
0,6,2487649.012441581
0,6,2691410.777113295
0,6,3329123.447253019
0,6,3639564.895531879
0,6,4515304.562975131
0,6,4742290.880972448
0,6,5129993.519240502
0,6,5760767.239913353
0,7,1198853.9595496175
0,7,2033798.5157665408
0,7,2491973.82844158
0,7,3645209.6155318804
0,7,4517235.186975131
0,7,4740437.488972447
0,7,5150345.442488531
0,7,5756442.247913358
0,8,1197235.4724776647
0,8,2032176.6437665413
0,8,2490043.028441582
0,8,2695272.0251132958
0,8,3660003.887531886
0,8,4518857.05897513
0,8,4742290.880972448
0,8,5136132.305968242
0,8,5763855.991913361
0,9,1198853.9595496175
0,9,2033798.5157665408
0,9,2491973.82844158
0,9,2694499.7051132955
0,9,3620366.837610641
0,9,3645209.6155318804
0,9,4517235.186975131
0,9,4740437.488972447
0,9,5756442.247913358
0,10,1197235.4724776647
0,10,2032176.6437665413
0,10,2490043.028441582
0,10,2693109.7051132955
0,10,3342149.223253054
0,10,3641656.9435318783
0,10,4518857.05897513
0,10,4742290.880972448
0,10,5136132.305968242
0,10,5763855.991913361
0,11,1197386.7275496172
0,11,2029473.5237665412
0,11,2491973.82844158
0,11,2693109.7051132955
0,11,3641656.9435318783
0,11,4517235.186975131
0,11,4740437.488972447
0,11,5136132.305968242
0,11,5756442.247913358
0,12,1194220.391549617
0,12,2027002.275766541
0,12,2487649.012441581
0,12,2691410.777113295
0,12,3329123.447253019
0,12,3639564.895531879
0,12,4515304.562975131
0,12,4739047.488972447
0,12,5129993.519240502
0,12,5751499.575913356
0,13,1198853.9595496175
0,13,2033798.5157665408
0,13,2491973.82844158
0,13,3645209.6155318804
0,13,4517235.186975131
0,13,4740437.488972447
0,13,5148955.442488531
0,13,5756442.247913358
0,14,1197235.4724776647
0,14,2032176.6437665413
0,14,2490043.028441582
0,14,2693109.7051132955
0,14,3342149.223253054
0,14,3641656.9435318783
0,14,4518857.05897513
0,14,4742290.880972448
0,14,5136132.305968242
0,14,5763855.991913361
0,15,1194220.391549617
0,15,2027002.275766541
0,15,2487649.012441581
0,15,2691410.777113295
0,15,3329123.447253019
0,15,3672884.1139234463
0,15,4515304.562975131
0,15,4739047.488972447
0,15,5129993.519240502
0,15,5751499.575913356
0,16,1194220.391549617
0,16,2027002.275766541
0,16,2487649.012441581
0,16,2691410.777113295
0,16,3329123.447253019
0,16,3639564.895531879
0,16,4515304.562975131
0,16,4739047.488972447
0,16,5129993.519240502
0,16,5751499.575913356
0,17,1194220.391549617
0,17,2027002.275766541
0,17,2487649.012441581
0,17,2691410.777113295
0,17,3329123.447253019
0,17,3639564.895531879
0,17,4515304.562975131
0,17,4739047.488972447
0,17,5129993.519240502
0,17,5751499.575913356
0,18,1194220.391549617
0,18,2027002.275766541
0,18,2487649.012441581
0,18,2691410.777113295
0,18,3329123.447253019
0,18,3639564.895531879
0,18,4515304.562975131
0,18,4739047.488972447
0,18,5129993.519240502
0,18,5751499.575913356
0,19,1197235.4724776647
0,19,2032176.6437665413
0,19,2490043.028441582
0,19,2693109.7051132955
0,19,3342149.223253054
0,19,3641656.9435318783
0,19,4518857.05897513
0,19,4742290.880972448
0,19,5136132.305968242
0,19,5763855.991913361
0,20,1194220.391549617
0,20,2027002.275766541
0,20,2487649.012441581
0,20,2691410.777113295
0,20,3329123.447253019
0,20,3641656.9435318783
0,20,4515304.562975131
0,20,4739047.488972447
0,20,5129993.519240502
0,20,5751499.575913356
0,21,1194220.391549617
0,21,2027002.275766541
0,21,2487649.012441581
0,21,2691410.777113295
0,21,3329123.447253019
0,21,3639564.895531879
0,21,4515304.562975131
0,21,4739047.488972447
0,21,5129993.519240502
0,21,5751499.575913356
0,22,1197386.7275496172
0,22,2032176.6437665413
0,22,2490043.028441582
0,22,2693109.7051132955
0,22,3342149.223253054
0,22,3641656.9435318783
0,22,4518857.05897513
0,22,4742290.880972448
0,22,5136132.305968242
0,22,5760767.239913353
0,23,1197386.7275496172
0,23,2027002.275766541
0,23,2487649.012441581
0,23,2693109.7051132955
0,23,3641656.9435318783
0,23,4515304.562975131
0,23,4739047.488972447
0,23,5129993.519240502
0,23,5751499.575913356
0,24,1194220.391549617
0,24,2027002.275766541
0,24,2487649.012441581
0,24,2691410.777113295
0,24,3329123.447253019
0,24,3639564.895531879
0,24,4515304.562975131
0,24,4740437.488972447
0,24,5129993.519240502
0,24,5760767.239913353
