source,destination,count,mean,min_delay,max_delay,range
12,0,28,21184.150379337294,996.7839999999852,216053.71021044825,215056.92621044826
13,0,17,3465.988167004951,919.5520000001416,25643.74400000001,24724.191999999868
14,0,26,4134.327906557947,996.7839999999852,27115.373570502787,26118.5895705028
15,0,14,2847.062348883067,919.5520000001416,5553.472000000067,4633.9199999999255
16,0,31,16269.495976332326,919.5520000001416,159335.99019478244,158416.4381947823
17,0,20,10183.566985649897,996.7839999999852,115476.8353582798,114480.05135827982
18,0,26,46535.607069695456,1460.1759999999776,393258.516826657,391798.340826657
19,0,28,5051.963742209149,919.5520000001416,44955.7847818468,44036.23278184666
20,0,21,6893.086172049349,919.5520000001416,81260.2816130328,80340.72961303266
21,0,27,23670.150695192722,1074.0159999998286,243433.3055878915,242359.28958789166
22,0,18,4309.555995373592,919.5520000001416,22087.862992087143,21168.310992087
