source,destination,delay_value
14,0,8965.591912685537
14,0,589022.4148939131
14,0,687468.5218072359
14,0,1463424.5559613171
14,0,1750992.4485224658
14,0,2276417.7360623726
14,0,2284820.2357724477
14,0,2373278.632348895
14,0,2514466.2760104625
14,0,2676022.0336559503
14,0,2966442.164531627
14,0,3005273.5172196208
14,0,3047382.0261840955
14,0,3468108.2400138536
14,0,3543465.2769538024
14,0,3646229.314819594
14,0,3954506.499452945
14,0,4140824.970716142
14,0,4372681.762877008
14,0,4403244.805968128
14,0,4492330.022669074
14,0,4493419.4440811165
14,0,4708175.428730351
14,0,5188522.405443431
14,0,5288715.595121901
14,0,5399193.161964514
18,0,19128.748833717902
18,0,69249.80014768377
18,0,231869.77556604653
18,0,323590.6153851282
18,0,393612.1780405296
18,0,654656.60656174
18,0,938971.0049002762
18,0,1180235.682430394
18,0,1266214.3368955387
18,0,1336592.975710787
18,0,1673606.2507835017
18,0,1769411.63767436
18,0,1954165.9517968418
18,0,2634525.80662805
18,0,2986566.0062828306
18,0,3736069.8865794716
18,0,3878522.6556557566
18,0,3954738.0761000896
18,0,4781842.5783747705
18,0,5436392.723642208
18,0,5470190.020010883
21,0,34367.50952449312
21,0,32619.196908917802
21,0,14448.701020093285
21,0,23098.6399518837
21,0,76940.30258409737
21,0,131149.07793284045
21,0,49756.41775564547
21,0,58274.21615105448
21,0,132380.15106071252
21,0,253586.32704148348
21,0,288820.38314539846
21,0,316186.1455694167
21,0,400504.6829335289
21,0,530728.3882245296
21,0,549521.4422475072
21,0,749796.4203655217
21,0,731352.6347356401
21,0,780441.1585555952
21,0,581808.8223897703
21,0,640732.8462034771
21,0,671631.5600549076
21,0,665594.9502728498
21,0,734213.9648509724
21,0,762609.3284888538
21,0,773691.178076244
21,0,823961.2837513164
21,0,676211.3347654138
21,0,670121.7239971533
21,0,670077.9540438447
21,0,683776.9658020791
21,0,764017.0585773177
21,0,796198.0702078156
21,0,864670.4145598095
13,0,17067.920000000013
13,0,6641.599999999977
13,0,55120.201823276235
13,0,39508.959441231564
13,0,9523.499750694493
13,0,858117.1163716177
13,0,5560.175999999745
13,0,10039.808000000194
13,0,5019.727999999654
13,0,1406903.8021499543
13,0,4710.800000000279
13,0,10445.978522528429
13,0,5019.552000000607
13,0,1901232.7333488152
13,0,2806424.575436373
13,0,5560.351999999955
13,0,6373.5772244809195
13,0,5684.097133932635
13,0,20427.657159077935
13,0,4419.387217666954
13,0,251142.3712244006
13,0,16622.88576450199
13,0,4963336.75002277
13,0,7954.543999999762
13,0,6100.975999999791
13,0,5646178.014289573
13,0,3794753.846798647
13,0,11462.363468794152
13,0,20173.233202898875
13,0,6332.671999998391
13,0,387837.65512089804
13,0,6361.800248328596
13,0,6255.4399999994785
16,0,149354.42219478244
16,0,497521.3537595323
16,0,587855.8246475421
16,0,873350.5063077597
16,0,927023.0146141554
16,0,1319561.5854380452
16,0,1669665.3838568672
