Boradcast_message_expected_interval,Routing,Broadcast_Delay,Broadcast_Reliability
5,AODV,208993.8221,0.9674
5,ZRP,1346016.9956,0.8354
5,MANAGED_FLOOD,891409.2575,0.5083
10,AODV,80394.7471,0.9792
10,ZRP,1272816.6922,0.8096
10,MANAGED_FLOOD,785243.5955,0.5167
15,AODV,40632.4091,0.9361
15,ZRP,1267240.2561,0.8917
15,MANAGED_FLOOD,624566.4316,0.6222
20,AODV,47026.7922,0.9833
20,ZRP,585329.6899,0.8000
20,MANAGED_FLOOD,217227.0986,0.6375
25,AODV,12427,0.9833
25,ZRP,417599.1018,0.8000
25,MANAGED_FLOOD,115238.2380,0.6791 
