source,destination,delay_value
10,0,109486.14852728453
10,0,2927.5840000002645
10,0,2232.4960000002757
10,1,1228.4799999999814
10,1,2155.2639999999665
10,1,996.7839999999851
10,1,2464.1920000007376
10,1,1460.1759999999776
10,1,2673.8820572774857
10,1,1382.944000000134
10,1,996.7839999999851
10,2,6325.792000000132
10,2,1769.1040000000503
10,2,2773.119999999879
10,2,1769.1040000002831
10,2,2695.8879999998026
10,2,1151.2480000001378
10,2,1769.1040000002831
10,2,1228.480000000447
10,3,2843.1199999999953
10,3,2534.1919999998063
10,3,2070.8000000002794
10,3,3152.0479999999516
10,3,3152.0480000004172
10,3,2148.0319999996573
10,3,2688.6560000004247
10,4,6164.095999999903
10,4,1460.1759999999776
10,4,1460.1759999999776
10,4,1614.6400000001304
10,4,1228.4799999999814
10,4,1228.480000000447
10,4,1691.8720000004396
10,4,919.5520000001416
10,5,6480.256000000052
10,5,1228.4799999999814
10,5,1846.335999999661
10,6,44356.36485653908
10,6,3622.6720000000205
10,6,3082.0479999999516
10,6,1151.2480000001378
10,6,2000.800000000745
10,6,1460.1759999999776
10,6,919.5520000001416
10,7,2920.3520000000717
10,7,4387.760000000242
10,7,5082.848000000231
10,7,2379.728000000119
10,7,2916.9377222144976
10,7,2302.496000001207
10,7,2534.1920000007376
10,7,2456.9599999999627
10,8,1846.3359999998938
10,8,2309.7279999998864
10,8,1769.1039999998175
10,8,1691.871999999974
10,8,1151.2480000006035
10,8,1151.2480000006035
10,8,1228.480000000447
10,8,1460.1759999999776
10,9,3692.6719999997877
10,9,3074.815999999875
10,9,3847.1359999994747
10,9,4851.151999999536
10,9,2379.7279999998864
10,9,2920.352000000421
10,9,2148.032000000123
10,9,2688.6560000004247
10,9,2688.6560000004247
10,11,5160.079999999958
10,11,2688.6560000000754
10,11,2843.1200000001118
10,11,2611.42399999965
3,0,189253.127331483
3,0,9415.072000000044
3,0,2464.1919999998063
3,0,1382.944000000134
3,0,2000.8000000002794
3,0,1537.4079999998212
3,0,1614.640000000596
3,2,1923.5679999999702
3,2,3545.439999999944
3,2,2309.728000000119
3,2,2000.8000000002794
3,2,9233.642181357369
3,2,1074.0159999998286
3,4,46753.94261242461
3,4,8333.824000000022
3,4,2232.4960000002757
3,4,1537.4079999998212
3,4,2078.0320000005886
3,4,1691.8720000004396
3,5,2155.2639999999665
3,5,1382.944000000134
3,5,2000.8000000002794
3,5,1769.1040000002831
3,5,4008.8320000004023
3,5,1614.640000000596
3,6,6550.256000000052
3,6,2843.1200000001118
3,6,3367.9450152558275
3,6,3692.6719999997877
