source,destination,count,mean,min_delay,max_delay,range
1,0,5,10114.70549949035,2471.248000000138,18998.368000002574,16527.120000002436
1,2,3,26497.398532638832,9744.693585675908,56326.12327588443,46581.42969020852
1,3,1,34619.567759963684,34619.567759963684,34619.567759963684,0.0
1,4,3,6307.10400000005,2162.320000000298,12279.712000000058,10117.39199999976
1,5,2,16378.239190656343,10804.45576303196,21952.022618280724,11147.566855248764
1,6,1,5179.992979794741,5179.992979794741,5179.992979794741,0.0
1,7,5,10262.281025491935,4646.219209465664,17427.871848999523,12781.652639533859
1,8,5,13217.71442523279,7182.223999999929,22247.684413955547,15065.460413955618
1,9,5,38095.87746735392,9840.86711673811,79794.1289312276,69953.2618144895
1,11,3,4561.36917048522,4401.857822503895,4880.201688951347,478.34386644745246
2,0,3,28148.378097491845,5869.456000000238,66110.5036173216,60241.04761732137
2,3,3,32174.448335057434,17992.75903983973,42454.48340526689,24461.72436542716
2,5,1,5637.760000000009,5637.760000000009,5637.760000000009,0.0
2,6,5,34256.22911806645,7436.384659509524,63834.95034478232,56398.5656852728
2,7,1,26638.10393866617,26638.10393866617,26638.10393866617,0.0
2,8,2,9843.320264651906,5637.7599999997765,14048.880529304037,8411.12052930426
2,9,6,18415.37391972406,8108.656000000425,40213.59086866584,32104.934868665412
2,10,1,14077.65661925613,14077.65661925613,14077.65661925613,0.0
2,11,2,23545.272034959635,11467.52617172082,35623.01789819845,24155.49172647763
3,0,3,12328.174888848464,10194.272000000812,13885.91140928818,3691.639409287367
3,1,2,13966.400335971033,11584.447999999393,16348.352671942674,4763.904671943281
3,2,2,14519.176000000678,8881.152000000235,20157.20000000112,11276.048000000887
3,4,2,11828.042928058188,6641.59999999986,17014.485856116517,10372.885856116656
3,5,1,5470.962305702735,5470.962305702735,5470.962305702735,0.0
3,6,2,9557.32160976855,7298.851219536737,11815.792000000363,4516.940780463627
3,7,2,12409.927331399638,8150.11800219398,16669.736660605296,8519.618658411317
3,8,2,8218.826470920118,7662.80149012804,8774.851451712195,1112.0499615841545
3,9,4,9112.194949763687,1776.1599999999162,16983.416957651403,15207.256957651487
3,10,8,47083.105396067665,4787.856000000611,218217.0045233974,213429.14852339678
3,11,5,12776.651870461274,8186.064000000246,17608.368000001647,9422.3040000014
4,0,4,256227.4303335283,96496.52731196872,487890.5949759404,391394.0676639717
4,1,2,7254.759217058832,6709.438434117648,7800.080000000016,1090.641565882368
4,2,2,297853.7976029462,157678.53167707194,438029.0635288204,280350.53185174847
4,3,2,220337.91888226103,54676.50291830767,385999.3348462144,331322.8319279067
4,5,6,288754.7094937048,114145.24596056643,451345.7179459664,337200.47198539996
4,6,2,316412.57014396624,312033.43965524994,320791.70063268254,8758.260977432597
4,7,4,431506.86579687614,374273.1096789427,465306.6080970606,91033.49841811787
4,8,2,197433.05500834965,26114.840598394512,368751.2694183048,342636.4288199103
4,9,4,260650.15406308754,26025.42381659354,478369.4548473973,452344.03103080374
4,10,2,362189.2325673669,352782.2094970043,371596.2556377296,18814.046140725317
4,11,3,428431.8051943819,374572.7488361709,522298.811247766,147726.06241159514
5,0,3,192229.5388814042,24153.16342747025,520726.53389391815,496573.3704664479
5,1,1,25015.644277128857,25015.644277128857,25015.644277128857,0.0
5,2,8,16716.60808083578,1312.7680000001565,96615.31063336274,95302.54263336258
5,3,5,11316.790676807334,4865.440000001341,18179.3277941118,13313.887794110458
5,4,1,30042.544000001624,30042.544000001624,30042.544000001624,0.0
5,6,4,19790.538873773636,7799.72800000105,50669.33842297178,42869.61042297073
5,7,1,11641.99294482451,11641.99294482451,11641.99294482451,0.0
5,8,2,2741.5600000001723,2471.247999999905,3011.87200000044,540.624000000535
5,10,3,16040.112704103269,3243.39199999976,36845.17011230998,33601.77811231022
5,11,2,485633.7855722535,14711.89234372042,956555.6788007866,941843.7864570662
6,0,3,32769.1280969379,9652.049016144128,73731.07927466952,64079.030258525396
6,1,3,94344.63655417378,22805.73421352671,208802.14452773565,185996.41031420894
6,2,1,228855.79561662037,228855.79561662037,228855.79561662037,0.0
6,3,6,52380.32445684824,5560.176000000909,84520.0226945933,78959.84669459239
6,4,4,35092.23144702887,8417.935999999987,98995.50660594506,90577.57060594507
6,5,1,35302.34892180469,35302.34892180469,35302.34892180469,0.0
6,7,2,144242.8325906389,35835.16611485742,252650.4990664204,216815.33295156297
6,8,2,73716.3149701595,28924.79557341442,118507.83436690456,89583.03879349014
6,9,2,15715.354410877218,11841.1575420578,19589.55127969664,7748.39373763884
6,10,1,169811.65695820935,169811.65695820935,169811.65695820935,0.0
6,11,1,69762.21567489859,69762.21567489859,69762.21567489859,0.0
7,0,3,78910.87874194258,4710.623999999836,221385.86283143656,216675.23883143673
7,1,4,22052.806512890864,6023.567999999854,52566.3017028693,46542.733702869446
7,3,5,282240.77091841167,5825.696229697205,827788.0969321784,821962.4007024812
7,4,6,7078.661769390029,6172.498115599155,7965.387365780771,1792.8892501816154
7,5,1,7336.336000001058,7336.336000001058,7336.336000001058,0.0
7,6,1,11970.256000001917,11970.256000001917,11970.256000001917,0.0
7,9,2,5637.40800000017,5405.712000000058,5869.104000000283,463.3920000002254
7,10,2,8784.523780828255,7104.639999999956,10464.407561656551,3359.7675616565957
7,11,5,103330.1944981251,7939.038633454591,447918.1256980412,439979.08706458664
8,0,2,12073.733369062393,9177.048376106655,14970.418362018128,5793.369985911473
8,1,2,8919.76800000004,6641.424000000348,11198.111999999732,4556.6879999993835
8,2,2,7166.599405865186,4140.839357174467,10192.359454555904,6051.520097381437
8,3,4,17439.881678623948,4865.264000000432,44506.75961638335,39641.49561638292
8,4,3,9208.195869898113,8161.516883685254,11122.7187260082,2961.2018423229456
8,5,1,13302.384000000544,13302.384000000544,13302.384000000544,0.0
8,6,6,13599.000380320887,5519.5148214343935,25166.00242704409,19646.4876056097
